191 1 0 0 1 0 0 1 0 3 56 1
alyyy	166	178
lollllyyyy	144	106
Anonymous	22	75
Anonymous	32	70
Anonymous	53	59
Anonymous	26	51
Anonymous	31	37
aly	8	19
Anonymous	2	9
Anonymous	101	74
